date,rad,load
2022/6/1 0:00,0,0
2022/6/1 0:15,0,0
2022/6/1 0:30,0,0
2022/6/1 0:45,0,0
2022/6/1 1:00,0,0
2022/6/1 1:15,0,0
2022/6/1 1:30,0,0
2022/6/1 1:45,0,0
2022/6/1 2:00,0,0
2022/6/1 2:15,0,0
2022/6/1 2:30,0,0
2022/6/1 2:45,0,0
2022/6/1 3:00,0,0
2022/6/1 3:15,0,0
2022/6/1 3:30,0,0
2022/6/1 3:45,0,0
2022/6/1 4:00,0,0
2022/6/1 4:15,0,0
2022/6/1 4:30,0,0
2022/6/1 4:45,0,0
2022/6/1 5:00,0,0
2022/6/1 5:15,0,0
2022/6/1 5:30,0,0
2022/6/1 5:45,0,0
2022/6/1 6:00,0,0
2022/6/1 6:15,0,0
2022/6/1 6:30,3.39,0
2022/6/1 6:45,6.68,0
2022/6/1 7:00,14.08,0.087
2022/6/1 7:15,25.37,0.076
2022/6/1 7:30,37.91,0.115
2022/6/1 7:45,62.91,0.148
2022/6/1 8:00,92.31,0.157
2022/6/1 8:15,127.16,0.16
2022/6/1 8:30,165.87,0.473
2022/6/1 8:45,202.26,0.977
2022/6/1 9:00,238.82,0.44
2022/6/1 9:15,285.84,0.384
2022/6/1 9:30,319.71,0.395
2022/6/1 9:45,348.9,0.591
2022/6/1 10:00,378.82,1.361
2022/6/1 10:15,417.95,1.856
2022/6/1 10:30,437.96,1.574
2022/6/1 10:45,456.52,1.576
2022/6/1 11:00,479.43,1.445
2022/6/1 11:15,513.8,1.462
2022/6/1 11:30,539.31,2.106
2022/6/1 11:45,555.11,3.987
2022/6/1 12:00,571.46,5.466
2022/6/1 12:15,583.12,4.194
2022/6/1 12:30,594.13,2.433
2022/6/1 12:45,578.84,2.335
2022/6/1 13:00,564.4,2.512
2022/6/1 13:15,545.05,2.237
2022/6/1 13:30,513.8,3.24
2022/6/1 13:45,491.67,2.976
2022/6/1 14:00,469.03,1.324
2022/6/1 14:15,443.51,1.669
2022/6/1 14:30,415.12,1.148
2022/6/1 14:45,385.77,0.753
2022/6/1 15:00,357.8,0.77
2022/6/1 15:15,334.44,1.044
2022/6/1 15:30,300.49,1.095
2022/6/1 15:45,279.28,1.092
2022/6/1 16:00,257.58,1.714
2022/6/1 16:15,234.64,3.604
2022/6/1 16:30,210.52,2.797
2022/6/1 16:45,189.92,2.1
2022/6/1 17:00,171.22,2.374
2022/6/1 17:15,147.91,2.114
2022/6/1 17:30,125.01,2.691
2022/6/1 17:45,109.51,3.427
2022/6/1 18:00,91.58,2.024
2022/6/1 18:15,79.37,1.54
2022/6/1 18:30,66.03,1.45
2022/6/1 18:45,62.64,1.879
2022/6/1 19:00,54.79,0.955
2022/6/1 19:15,49.68,0.689
2022/6/1 19:30,42.41,0.61
2022/6/1 19:45,33.84,0.414
2022/6/1 20:00,27.53,0.314
2022/6/1 20:15,23.55,0.118
2022/6/1 20:30,18.11,0
2022/6/1 20:45,13.35,0
2022/6/1 21:00,11.44,0
2022/6/1 21:15,0,0
2022/6/1 21:30,0,0
2022/6/1 21:45,0,0
2022/6/1 22:00,0,0
2022/6/1 22:15,0,0
2022/6/1 22:30,0,0
2022/6/1 22:45,0,0
2022/6/1 23:00,0,0
2022/6/1 23:15,0,0
2022/6/1 23:30,0,0
2022/6/1 23:45,0,0
2022/6/2 0:00,0,0
2022/6/2 0:15,0,0
2022/6/2 0:30,0,0
2022/6/2 0:45,0,0
2022/6/2 1:00,0,0
2022/6/2 1:15,0,0
2022/6/2 1:30,0,0
2022/6/2 1:45,0,0
2022/6/2 2:00,0,0
2022/6/2 2:15,0,0
2022/6/2 2:30,0,0
2022/6/2 2:45,0,0
2022/6/2 3:00,0,0
2022/6/2 3:15,0,0
2022/6/2 3:30,0,0
2022/6/2 3:45,0,0
2022/6/2 4:00,0,0
2022/6/2 4:15,0,0
2022/6/2 4:30,0,0
2022/6/2 4:45,0,0
2022/6/2 5:00,0,0
2022/6/2 5:15,0,0
2022/6/2 5:30,0,0
2022/6/2 5:45,0,0
2022/6/2 6:00,0,0
2022/6/2 6:15,0,0
2022/6/2 6:30,11.31,0
2022/6/2 6:45,11.52,0
2022/6/2 7:00,13.44,0.022
