load,date
6190.151367,2021-01-01 00:00:00.000000
6147.467773,2021-01-01 00:15:00.000000
6109.303711,2021-01-01 00:30:00.000000
6038.528809,2021-01-01 00:45:00.000000
5975.087402,2021-01-01 01:00:00.000000
5918.99707,2021-01-01 01:15:00.000000
5854.746582,2021-01-01 01:30:00.000000
5821.052734,2021-01-01 01:45:00.000000
5777.29834,2021-01-01 02:00:00.000000
5758.28125,2021-01-01 02:15:00.000000
5719.809082,2021-01-01 02:30:00.000000
5665.816406,2021-01-01 02:45:00.000000
5656.448242,2021-01-01 03:00:00.000000
5605.710938,2021-01-01 03:15:00.000000
5592.899414,2021-01-01 03:30:00.000000
5548.462891,2021-01-01 03:45:00.000000
5530.401367,2021-01-01 04:00:00.000000
5532.612793,2021-01-01 04:15:00.000000
5501.098633,2021-01-01 04:30:00.000000
5502.916504,2021-01-01 04:45:00.000000
5537.123535,2021-01-01 05:00:00.000000
5567.198242,2021-01-01 05:15:00.000000
5597.165039,2021-01-01 05:30:00.000000
5640.142578,2021-01-01 05:45:00.000000
5601.786133,2021-01-01 06:00:00.000000
5719.668457,2021-01-01 06:15:00.000000
5712.683594,2021-01-01 06:30:00.000000
5803.824219,2021-01-01 06:45:00.000000
5875.75293,2021-01-01 07:00:00.000000
6008.941895,2021-01-01 07:15:00.000000
6104.570312,2021-01-01 07:30:00.000000
6125.460449,2021-01-01 07:45:00.000000
6049.474609,2021-01-01 08:00:00.000000
5978.229492,2021-01-01 08:15:00.000000
5991.162598,2021-01-01 08:30:00.000000
5991.302246,2021-01-01 08:45:00.000000
6001.730957,2021-01-01 09:00:00.000000
5969.815918,2021-01-01 09:15:00.000000
5905.06543,2021-01-01 09:30:00.000000
5889.095703,2021-01-01 09:45:00.000000
5900.21875,2021-01-01 10:00:00.000000
5887.738281,2021-01-01 10:15:00.000000
5886.821777,2021-01-01 10:30:00.000000
5826.669922,2021-01-01 10:45:00.000000
5740.352051,2021-01-01 11:00:00.000000
5632.345703,2021-01-01 11:15:00.000000
5448.495605,2021-01-01 11:30:00.000000
5321.553223,2021-01-01 11:45:00.000000
5301.171875,2021-01-01 12:00:00.000000
5356.443359,2021-01-01 12:15:00.000000
5363.464844,2021-01-01 12:30:00.000000
5401.211914,2021-01-01 12:45:00.000000
5406.789551,2021-01-01 13:00:00.000000
5451.514648,2021-01-01 13:15:00.000000
5417.657715,2021-01-01 13:30:00.000000
5457.21875,2021-01-01 13:45:00.000000
5463.358398,2021-01-01 14:00:00.000000
5499.62207,2021-01-01 14:15:00.000000
5539.378418,2021-01-01 14:30:00.000000
5612.004395,2021-01-01 14:45:00.000000
5636.365234,2021-01-01 15:00:00.000000
5694.940918,2021-01-01 15:15:00.000000
5779.650879,2021-01-01 15:30:00.000000
5886.962891,2021-01-01 15:45:00.000000
5970.467285,2021-01-01 16:00:00.000000
6127.179688,2021-01-01 16:15:00.000000
6220.907227,2021-01-01 16:30:00.000000
6361.23291,2021-01-01 16:45:00.000000
6411.728516,2021-01-01 17:00:00.000000
6525.688965,2021-01-01 17:15:00.000000
6670.154297,2021-01-01 17:30:00.000000
6703.105469,2021-01-01 17:45:00.000000
6738.105469,2021-01-01 18:00:00.000000
6741.569824,2021-01-01 18:15:00.000000
6805.350586,2021-01-01 18:30:00.000000
6861.990723,2021-01-01 18:45:00.000000
6890.725098,2021-01-01 19:00:00.000000
6945.55957,2021-01-01 19:15:00.000000
6969.245605,2021-01-01 19:30:00.000000
6990.212891,2021-01-01 19:45:00.000000
7038.455566,2021-01-01 20:00:00.000000
7035.896973,2021-01-01 20:15:00.000000
7004.378906,2021-01-01 20:30:00.000000
6958.21582,2021-01-01 20:45:00.000000
6949.521484,2021-01-01 21:00:00.000000
6936.498535,2021-01-01 21:15:00.000000
6849.871094,2021-01-01 21:30:00.000000
6734.657227,2021-01-01 21:45:00.000000
6611.214844,2021-01-01 22:00:00.000000
6446.668457,2021-01-01 22:15:00.000000
6294.39209,2021-01-01 22:30:00.000000
6128.716797,2021-01-01 22:45:00.000000
5978.643555,2021-01-01 23:00:00.000000
5826.210938,2021-01-01 23:15:00.000000
5728.347168,2021-01-01 23:30:00.000000
5638.736816,2021-01-01 23:45:00.000000
5564.26123,2021-01-02 00:00:00.000000
5545.317383,2021-01-02 00:15:00.000000
5493.243164,2021-01-02 00:30:00.000000
5417.128418,2021-01-02 00:45:00.000000
5371.195312,2021-01-02 01:00:00.000000
5321.120117,2021-01-02 01:15:00.000000
5272.290039,2021-01-02 01:30:00.000000
5253.490234,2021-01-02 01:45:00.000000
5194.92334,2021-01-02 02:00:00.000000
5187.811523,2021-01-02 02:15:00.000000
5158.146973,2021-01-02 02:30:00.000000
5131.866699,2021-01-02 02:45:00.000000
5106.25,2021-01-02 03:00:00.000000
5086.77002,2021-01-02 03:15:00.000000
5091.338867,2021-01-02 03:30:00.000000
5093.475586,2021-01-02 03:45:00.000000
5087.963867,2021-01-02 04:00:00.000000
5098.159668,2021-01-02 04:15:00.000000
5093.869629,2021-01-02 04:30:00.000000
5104.535156,2021-01-02 04:45:00.000000
5142.085938,2021-01-02 05:00:00.000000
5189.200684,2021-01-02 05:15:00.000000
5232.196289,2021-01-02 05:30:00.000000
5277.887695,2021-01-02 05:45:00.000000
5344.79834,2021-01-02 06:00:00.000000
5438.290039,2021-01-02 06:15:00.000000
5540.782227,2021-01-02 06:30:00.000000
5627.095215,2021-01-02 06:45:00.000000
5820.492188,2021-01-02 07:00:00.000000
6021.640137,2021-01-02 07:15:00.000000
6229.061035,2021-01-02 07:30:00.000000
6430.164062,2021-01-02 07:45:00.000000
6490.750488,2021-01-02 08:00:00.000000
6517.022949,2021-01-02 08:15:00.000000
6607.250977,2021-01-02 08:30:00.000000
6653.046875,2021-01-02 08:45:00.000000
6693.789551,2021-01-02 09:00:00.000000
6727.619141,2021-01-02 09:15:00.000000
6719.987305,2021-01-02 09:30:00.000000
6714.769531,2021-01-02 09:45:00.000000
6740.852051,2021-01-02 10:00:00.000000
6758.365234,2021-01-02 10:15:00.000000
6745.585449,2021-01-02 10:30:00.000000
6714.708496,2021-01-02 10:45:00.000000
6642.766113,2021-01-02 11:00:00.000000
6475.928711,2021-01-02 11:15:00.000000
6129.979004,2021-01-02 11:30:00.000000
5954.270508,2021-01-02 11:45:00.000000
5930.092773,2021-01-02 12:00:00.000000
6163.243652,2021-01-02 12:15:00.000000
6117.565918,2021-01-02 12:30:00.000000
6274.464355,2021-01-02 12:45:00.000000
6288.17041,2021-01-02 13:00:00.000000
6339.186035,2021-01-02 13:15:00.000000
6365.766602,2021-01-02 13:30:00.000000
6408.977539,2021-01-02 13:45:00.000000
6384.518066,2021-01-02 14:00:00.000000
6452.828125,2021-01-02 14:15:00.000000
6453.205566,2021-01-02 14:30:00.000000
6466.230957,2021-01-02 14:45:00.000000
6476.900391,2021-01-02 15:00:00.000000
6543.040527,2021-01-02 15:15:00.000000
6619.443359,2021-01-02 15:30:00.000000
6689.942871,2021-01-02 15:45:00.000000
6770.359375,2021-01-02 16:00:00.000000
6899.868164,2021-01-02 16:15:00.000000
6997.316406,2021-01-02 16:30:00.000000
7039.209473,2021-01-02 16:45:00.000000
6981.316895,2021-01-02 17:00:00.000000
7057.945801,2021-01-02 17:15:00.000000
7151.548828,2021-01-02 17:30:00.000000
7206.526367,2021-01-02 17:45:00.000000
7218.584961,2021-01-02 18:00:00.000000
7252.441895,2021-01-02 18:15:00.000000
7304.165527,2021-01-02 18:30:00.000000
7333.120117,2021-01-02 18:45:00.000000
7359.018555,2021-01-02 19:00:00.000000
7346.617188,2021-01-02 19:15:00.000000
7394.598633,2021-01-02 19:30:00.000000
7430.625488,2021-01-02 19:45:00.000000
7403.876465,2021-01-02 20:00:00.000000
7415.324707,2021-01-02 20:15:00.000000
7398.32959,2021-01-02 20:30:00.000000
7336.893555,2021-01-02 20:45:00.000000
7277.618652,2021-01-02 21:00:00.000000
7293.231934,2021-01-02 21:15:00.000000
7239.722168,2021-01-02 21:30:00.000000
7103.574707,2021-01-02 21:45:00.000000
6966.860352,2021-01-02 22:00:00.000000
6818.105469,2021-01-02 22:15:00.000000
6698.151367,2021-01-02 22:30:00.000000
6555.57373,2021-01-02 22:45:00.000000
6396.178711,2021-01-02 23:00:00.000000
6259.505859,2021-01-02 23:15:00.000000
6141.67334,2021-01-02 23:30:00.000000
6036.537598,2021-01-02 23:45:00.000000
5967.744141,2021-01-03 00:00:00.000000
5961.391602,2021-01-03 00:15:00.000000
5937.918457,2021-01-03 00:30:00.000000
5863.375977,2021-01-03 00:45:00.000000
5804.897949,2021-01-03 01:00:00.000000
5775.412109,2021-01-03 01:15:00.000000
