date,ws30,wd30,ws50,wd50,ws70,wd70,t_50,p_50,load
2022-01-02 00:00:00,9.35,180.36,10.18,176.11,10.75,173.38,-0.03,1024.45,153.053
2022-01-02 00:15:00,9.19,163.14,10.01,158.4,10.57,155.32,-0.14,1024.59,155.734
2022-01-02 00:30:00,9.02,144.76,9.83,139.76,10.38,136.5,-0.25,1024.72,114.683
2022-01-02 00:45:00,8.88,126.36,9.67,121.27,10.22,117.92,-0.35,1024.85,107.105
2022-01-02 01:00:00,8.76,109.64,9.54,104.44,10.08,100.98,-0.46,1024.98,104.37
2022-01-02 01:15:00,8.66,95.01,9.43,89.71,9.96,86.12,-0.56,1025.1,99.679
2022-01-02 01:30:00,8.57,82.43,9.32,77.08,9.84,73.41,-0.66,1025.21,100.286
2022-01-02 01:45:00,8.48,71.69,9.22,66.4,9.73,62.73,-0.76,1025.31,102.67
2022-01-02 02:00:00,8.4,62.77,9.12,57.59,9.62,53.97,-0.86,1025.41,101.068
2022-01-02 02:15:00,8.1,55.69,8.81,50.6,9.31,47.05,-0.95,1025.5,96.989
2022-01-02 02:30:00,7.84,50.44,8.54,45.38,9.03,41.9,-1.05,1025.58,95.319
2022-01-02 02:45:00,7.56,46.96,8.26,41.91,8.74,38.51,-1.14,1025.65,82.883
2022-01-02 03:00:00,7.29,45.23,7.97,40.17,8.44,36.81,-1.23,1025.72,84.667
2022-01-02 03:15:00,7.03,45.21,7.7,40.09,8.16,36.73,-1.32,1025.78,71.371
2022-01-02 03:30:00,6.71,46.83,7.35,41.62,7.8,38.21,-1.41,1025.83,63.557
2022-01-02 03:45:00,6.4,48.2,7.03,43.13,7.47,39.8,-1.49,1025.88,69.056
2022-01-02 04:00:00,6.15,49.42,6.76,44.53,7.19,41.34,-1.58,1025.93,51.262
2022-01-02 04:15:00,5.91,50.5,6.5,45.83,6.92,42.82,-1.66,1025.99,34.988
2022-01-02 04:30:00,5.66,51.51,6.24,47.1,6.64,44.29,-1.75,1026.06,41.55
2022-01-02 04:45:00,5.33,52.5,5.9,48.38,6.29,45.8,-1.83,1026.14,47.89
2022-01-02 05:00:00,5.07,53.49,5.63,49.71,6.0,47.37,-1.92,1026.23,36.849
2022-01-02 05:15:00,4.78,54.55,5.32,51.1,5.69,49.01,-2.01,1026.32,27.447
2022-01-02 05:30:00,4.5,55.7,5.03,52.59,5.39,50.72,-2.09,1026.42,17.88
2022-01-02 05:45:00,4.22,57.03,4.74,54.19,5.09,52.51,-2.18,1026.52,8.248
2022-01-02 06:00:00,3.96,58.61,4.46,55.99,4.81,54.46,-2.26,1026.64,2.927
2022-01-02 06:15:00,3.72,60.53,4.21,58.01,4.55,56.58,-2.35,1026.75,0.268
2022-01-02 06:30:00,3.47,62.87,3.95,60.34,4.28,58.93,-2.44,1026.88,0.798
2022-01-02 06:45:00,3.27,65.13,3.73,62.65,4.05,61.29,-2.52,1027.0,0.0
2022-01-02 07:00:00,3.07,68.18,3.51,65.7,3.82,64.38,-2.54,1027.12,0.0
2022-01-02 07:15:00,2.87,71.97,3.3,69.47,3.6,68.16,-2.51,1027.21,-0.536
2022-01-02 07:30:00,2.72,76.45,3.13,73.88,3.41,72.58,-2.43,1027.3,-0.536
2022-01-02 07:45:00,2.58,81.53,2.98,78.87,3.25,77.56,-2.3,1027.37,-0.536
2022-01-02 08:00:00,2.46,87.06,2.84,84.3,3.1,82.98,-2.13,1027.44,-0.336
2022-01-02 08:15:00,2.66,92.93,2.98,90.07,3.21,88.73,-1.93,1027.49,0.0
2022-01-02 08:30:00,2.8,99.0,3.08,96.05,3.28,94.71,-1.71,1027.52,-0.536
2022-01-02 08:45:00,2.89,105.14,3.13,102.13,3.3,100.79,-1.46,1027.55,0.0
2022-01-02 09:00:00,2.91,111.24,3.12,108.22,3.27,106.9,-1.21,1027.56,0.0
2022-01-02 09:15:00,2.87,117.23,3.05,114.24,3.18,112.95,-0.94,1027.56,0.0
2022-01-02 09:30:00,2.81,123.02,2.98,120.11,3.09,118.85,-0.67,1027.54,-0.536
2022-01-02 09:45:00,2.77,127.68,2.92,124.97,3.02,123.79,-0.45,1027.53,0.0
2022-01-02 10:00:00,2.73,131.78,2.87,129.34,2.96,128.28,-0.26,1027.49,0.264
2022-01-02 10:15:00,2.65,135.4,2.78,133.28,2.86,132.36,-0.11,1027.43,0.268
2022-01-02 10:30:00,2.6,138.64,2.71,136.89,2.79,136.13,0.01,1027.35,0.113
2022-01-02 10:45:00,2.56,141.68,2.66,140.32,2.72,139.71,0.12,1027.24,0.027
2022-01-02 11:00:00,2.54,144.62,2.62,143.64,2.68,143.19,0.21,1027.12,1.072
2022-01-02 11:15:00,2.51,147.62,2.59,146.99,2.63,146.68,0.29,1026.97,0.268
2022-01-02 11:30:00,2.49,150.8,2.55,150.47,2.59,150.29,0.37,1026.8,0.0
2022-01-02 11:45:00,2.45,154.3,2.51,154.19,2.55,154.09,0.45,1026.62,-0.205
2022-01-02 12:00:00,2.41,158.17,2.46,158.21,2.5,158.16,0.54,1026.41,-0.536
2022-01-02 12:15:00,2.35,162.5,2.4,162.62,2.44,162.6,0.63,1026.19,-0.536
2022-01-02 12:30:00,2.29,167.37,2.34,167.5,2.37,167.49,0.74,1025.95,-0.536
2022-01-02 12:45:00,2.23,172.21,2.29,172.34,2.32,172.34,0.83,1025.71,-0.536
2022-01-02 13:00:00,2.18,176.39,2.24,176.52,2.28,176.53,0.92,1025.48,-0.536
2022-01-02 13:15:00,2.14,179.88,2.2,180.01,2.24,180.04,1.0,1025.27,-0.536
2022-01-02 13:30:00,2.11,182.67,2.18,182.81,2.22,182.86,1.07,1025.06,-0.536
2022-01-02 13:45:00,2.1,184.77,2.17,184.94,2.21,185.03,1.12,1024.88,-0.536
2022-01-02 14:00:00,2.11,186.21,2.18,186.43,2.22,186.56,1.15,1024.7,-0.536
2022-01-02 14:15:00,2.07,187.0,2.15,187.28,2.21,187.46,1.16,1024.53,-0.536
2022-01-02 14:30:00,2.04,187.15,2.14,187.51,2.2,187.75,1.15,1024.38,-0.536
2022-01-02 14:45:00,2.04,186.71,2.14,187.16,2.21,187.47,1.1,1024.24,-0.536
2022-01-02 15:00:00,2.02,185.75,2.14,186.3,2.22,186.69,1.03,1024.11,0.0
2022-01-02 15:15:00,2.06,184.27,2.18,184.94,2.27,185.4,0.92,1023.99,0.0
2022-01-02 15:30:00,2.12,182.31,2.25,183.08,2.34,183.62,0.78,1023.88,0.0
2022-01-02 15:45:00,2.17,180.49,2.32,181.37,2.41,181.98,0.61,1023.78,0.0
2022-01-02 16:00:00,2.24,178.87,2.39,179.86,2.49,180.53,0.43,1023.68,0.0
2022-01-02 16:15:00,2.34,177.42,2.5,178.5,2.6,179.24,0.24,1023.59,0.0
2022-01-02 16:30:00,2.44,176.11,2.61,177.26,2.72,178.08,0.04,1023.51,0.0
